file,age,gender,race,service_test
train/6.jpg,20-29,0,0,True
train/9.jpg,10-19,0,0,True
train/16.jpg,30-39,1,0,False
train/24.jpg,30-39,1,0,False
train/25.jpg,20-29,1,0,False
train/27.jpg,50-59,1,0,False
train/28.jpg,10-19,1,0,False
train/33.jpg,50-59,0,0,False
train/41.jpg,20-29,0,0,True
train/56.jpg,30-39,0,0,False
train/68.jpg,60-69,0,0,False
train/80.jpg,30-39,0,0,False
train/83.jpg,40-49,0,0,False
train/85.jpg,20-29,1,0,False
train/93.jpg,30-39,1,0,False
train/96.jpg,30-39,1,0,True
train/97.jpg,30-39,1,0,False
train/99.jpg,30-39,0,0,False
train/102.jpg,30-39,0,0,False
train/107.jpg,30-39,1,0,False
train/110.jpg,30-39,0,0,False
train/114.jpg,30-39,1,0,False
train/117.jpg,30-39,0,0,False
train/118.jpg,30-39,0,0,False
train/121.jpg,20-29,1,0,False
train/125.jpg,40-49,0,0,False
train/130.jpg,50-59,0,0,True
train/134.jpg,30-39,0,0,False
train/135.jpg,40-49,1,0,True
train/145.jpg,30-39,0,0,False
train/154.jpg,30-39,0,0,True
train/157.jpg,20-29,0,0,False
train/162.jpg,30-39,1,0,False
train/171.jpg,30-39,1,0,False
train/176.jpg,60-69,1,0,False
train/177.jpg,30-39,1,0,False
train/178.jpg,30-39,0,0,False
train/184.jpg,20-29,0,0,False
train/192.jpg,10-19,1,0,False
train/193.jpg,60-69,0,0,False
train/197.jpg,40-49,1,0,False
train/203.jpg,20-29,0,0,True
train/206.jpg,50-59,1,0,False
train/213.jpg,50-59,0,0,False
train/214.jpg,50-59,0,0,False
train/230.jpg,50-59,0,0,True
train/234.jpg,40-49,0,0,False
train/239.jpg,30-39,1,0,True
train/241.jpg,30-39,0,0,False
train/246.jpg,20-29,0,0,False
train/265.jpg,30-39,1,0,False
train/272.jpg,40-49,0,0,False
train/280.jpg,30-39,0,0,False
train/285.jpg,30-39,0,0,False
train/292.jpg,20-29,1,0,False
train/298.jpg,20-29,0,0,True
train/299.jpg,40-49,0,0,False
train/303.jpg,20-29,1,0,True
train/309.jpg,40-49,1,0,True
train/318.jpg,40-49,0,0,False
train/322.jpg,20-29,1,0,True
train/323.jpg,60-69,0,0,False
train/331.jpg,20-29,1,0,False
train/333.jpg,20-29,0,0,True
train/334.jpg,40-49,0,0,False
train/337.jpg,50-59,0,0,False
train/339.jpg,20-29,1,0,False
train/346.jpg,30-39,1,0,False
train/351.jpg,30-39,0,0,True
train/359.jpg,20-29,1,0,False
train/380.jpg,40-49,1,0,True
train/396.jpg,20-29,1,0,True
train/406.jpg,60-69,0,0,False
train/409.jpg,30-39,1,0,False
train/413.jpg,30-39,1,0,False
train/419.jpg,30-39,0,0,False
train/420.jpg,40-49,1,0,False
train/427.jpg,30-39,1,0,False
train/429.jpg,30-39,1,0,False
train/434.jpg,30-39,1,0,False
train/441.jpg,20-29,1,0,True
train/443.jpg,40-49,0,0,False
train/444.jpg,20-29,0,0,True
train/454.jpg,20-29,1,0,False
train/455.jpg,20-29,0,0,True
train/456.jpg,60-69,0,0,False
train/459.jpg,10-19,1,0,False
train/474.jpg,40-49,0,0,False
train/475.jpg,20-29,1,0,True
train/476.jpg,20-29,1,0,True
train/480.jpg,30-39,1,0,True
train/482.jpg,20-29,1,0,False
train/495.jpg,30-39,0,0,False
train/507.jpg,30-39,0,0,False
train/511.jpg,30-39,0,0,False
train/514.jpg,20-29,1,0,False
train/515.jpg,60-69,0,0,False
train/520.jpg,20-29,0,0,True
train/523.jpg,20-29,1,0,True
train/524.jpg,30-39,1,0,False
train/528.jpg,30-39,0,0,True
train/538.jpg,50-59,1,0,False
train/543.jpg,30-39,0,0,False
train/553.jpg,20-29,0,0,False
train/555.jpg,50-59,0,0,False
train/559.jpg,30-39,1,0,False
train/560.jpg,40-49,1,0,True
train/563.jpg,10-19,1,0,True
train/568.jpg,30-39,1,0,False
train/571.jpg,50-59,0,0,False
train/578.jpg,30-39,0,0,False
train/587.jpg,40-49,0,0,False
train/598.jpg,20-29,0,0,True
train/602.jpg,50-59,1,0,False
train/612.jpg,20-29,1,0,False
train/640.jpg,20-29,1,0,False
train/644.jpg,30-39,0,0,False
train/649.jpg,20-29,0,0,True
train/652.jpg,30-39,1,0,False
train/656.jpg,30-39,0,0,False
train/662.jpg,40-49,1,0,False
train/663.jpg,30-39,0,0,False
train/665.jpg,20-29,1,0,False
train/666.jpg,30-39,1,0,False
